Station,Line(s),Zone(s)
Roding Valley,Central,4
Royal Oak,Circle|Hammersmith & City,2
Ruislip,Metropolitan|Piccadilly,6
Ruislip Gardens,Central,5
Ruislip Manor,Metropolitan|Piccadilly,6
Russell Square,Piccadilly,1
Seven Sisters,Victoria,3
Shepherd's Bush,Central,2
Shepherd's Bush Market,Circle|Hammersmith & City,2
Sloane Square,Circle|District,1
Snaresbrook,Central,4
South Ealing,Piccadilly,3
South Harrow,Piccadilly,5
South Kensington,Circle|District|Piccadilly,1
South Kenton,Bakerloo,4
South Ruislip,Central,5
South Wimbledon,Northern,3|4
South Woodford,Central,4
Southfields,District,3
Southgate,Piccadilly,4
Southwark,Jubilee,1
St James's Park,Circle|District,1
St John's Wood,Jubilee,2
St Paul's,Central,1
Stamford Brook,District,2
Stanmore,Jubilee,5
Stepney Green,District|Hammersmith & City,2
Stockwell,Northern|Victoria,2
Stonebridge Park,Bakerloo,3
Stratford,Central|Jubilee,3
Sudbury Hill,Piccadilly,4
Sudbury Town,Piccadilly,4
Swiss Cottage,Jubilee,2
Temple,Circle|District,1
Theydon Bois,Central,6
Tooting Bec,Northern,3
Tooting Broadway,Northern,3
Tottenham Court Road,Central|Northern,1
Tottenham Hale,Victoria,3
Totteridge & Whetstone,Northern,4
Tower Hill,Circle|District,1
Tufnell Park,Northern,2
Turnham Green,District|Piccadilly,2|3
Turnpike Lane,Piccadilly,3
Upminster,District,6
Upminster Bridge,District,6
Upney,District,4
Upton Park,District|Hammersmith & City,3
Uxbridge,Metropolitan|Piccadilly,6
Vauxhall,Victoria,1|2
Victoria,Circle|District|Victoria,1
Walthamstow Central,Victoria,3
Wanstead,Central,4
Warren Street,Northern|Victoria,1
Warwick Avenue,Bakerloo,2
Waterloo,Bakerloo|Jubilee|Northern|Waterloo & City,1
Watford,Metropolitan,7
Wembley Central,Bakerloo,4
Wembley Park,Jubilee|Metropolitan,4
West Acton,Central,3
West Brompton,District,2
West Finchley,Northern,4
West Ham,District|Hammersmith & City|Jubilee,3
West Hampstead,Jubilee,2
West Harrow,Metropolitan,5
West Kensington,District,2
West Ruislip,Central,6
Westbourne Park,Circle|Hammersmith & City,2
Westminster,Circle|District|Jubilee,1
White City,Central,2
Whitechapel,District|Hammersmith & City,2
Willesden Green,Jubilee,2|3
Willesden Junction,Bakerloo,3
Wimbledon,District,3
Wimbledon Park,District,3
Wood Green,Piccadilly,3
Wood Lane,Circle|Hammersmith & City,2
Woodford,Central,4
Woodside Park,Northern,4
